,useridentifier,headers.x-session-id,id,event,timestamp,feed
24639,9c2a93d4-70a2-4e0f-a328-9db4d52c54a7,MC5lZmZ4eDg4eXc1dQ==,/fn/sfp/validate/description/:value,,2021-05-20 00:55:04.215,
24644,9c2a93d4-70a2-4e0f-a328-9db4d52c54a7,MC5lZmZ4eDg4eXc1dQ==,/fn/sfp/validate/description/:value,,2021-05-20 00:55:14.315,
24651,9c2a93d4-70a2-4e0f-a328-9db4d52c54a7,MC5lZmZ4eDg4eXc1dQ==,/fn/sfp/validate/description/:value,,2021-05-20 00:55:07.705,
24721,9c2a93d4-70a2-4e0f-a328-9db4d52c54a7,MC5lZmZ4eDg4eXc1dQ==,/fn/sfp/validate/description/:value,,2021-05-20 00:54:42.514,
24722,9c2a93d4-70a2-4e0f-a328-9db4d52c54a7,MC5lZmZ4eDg4eXc1dQ==,/fn/sfp/validate/description/:value,,2021-05-20 00:54:42.828,
24723,9c2a93d4-70a2-4e0f-a328-9db4d52c54a7,MC5lZmZ4eDg4eXc1dQ==,/fn/sfp/validate/description/:value,,2021-05-20 00:54:43.722,
24724,9c2a93d4-70a2-4e0f-a328-9db4d52c54a7,MC5lZmZ4eDg4eXc1dQ==,/fn/sfp/validate/description/:value,,2021-05-20 00:54:57.643,
24725,9c2a93d4-70a2-4e0f-a328-9db4d52c54a7,MC5lZmZ4eDg4eXc1dQ==,/fn/sfp/validate/description/:value,,2021-05-20 00:55:00.591,
24758,9c2a93d4-70a2-4e0f-a328-9db4d52c54a7,MC5lZmZ4eDg4eXc1dQ==,/fn/sfp/validate/description/:value,,2021-05-20 00:55:17.802,
24760,9c2a93d4-70a2-4e0f-a328-9db4d52c54a7,MC5lZmZ4eDg4eXc1dQ==,/fn/sfp/validate/description/:value,,2021-05-20 00:54:36.486,
24761,9c2a93d4-70a2-4e0f-a328-9db4d52c54a7,MC5lZmZ4eDg4eXc1dQ==,/fn/sfp/validate/description/:value,,2021-05-20 00:54:37.463,
24821,9c2a93d4-70a2-4e0f-a328-9db4d52c54a7,MC5lZmZ4eDg4eXc1dQ==,/fn/sfp/validate/description/:value,,2021-05-20 00:54:41.600,
24834,9c2a93d4-70a2-4e0f-a328-9db4d52c54a7,MC5lZmZ4eDg4eXc1dQ==,/fn/sfp/validate/description/:value,,2021-05-20 00:54:53.734,
24877,9c2a93d4-70a2-4e0f-a328-9db4d52c54a7,MC5lZmZ4eDg4eXc1dQ==,/fn/sfp/validate/description/:value,,2021-05-20 00:55:02.380,
25765,60a5e187cfb72611e06f5d2d,MC54bnljbm1udWJ3cg==,/fn/nop,screen_view_lp,2021-05-20 13:42:46.334,"{'screen_name': 'lp', 'filters': 'cid~2001'}"
